src_port,dst_port,num_packets,total_bytes,avg_pkt_len,bytes_out,bytes_in,pss_0,pss_1,pss_2,pss_3,pss_4,pss_5,pss_6,pss_7,pss_8,pss_9,iat_mean,iat_std,iat_min,iat_max,iat_cv,tls_version,num_ciphersuites,num_extensions,has_sni,analysis_confidence,is_malware,is_well_known_port,source_file
62483,443,7,4940,705.7142857142857,2155,2785,1155,766,90,614,189,1405,721,0,0,0,1.2988333333333333,1.2384140956167375,0.288,4.008,0.9534819162967311,1.3,5,6,1,0.7787474455877251,0,1,pcap_000.json
5166,993,12,10114,842.8333333333334,4204,5910,308,1169,696,1121,780,830,1052,673,841,1181,0.8831818181818182,1.1074696645286677,0.059,3.491,1.2539543293685378,1.3,5,15,1,0.7718419869553357,0,1,pcap_000.json
45102,443,9,6931,770.1111111111111,4511,2420,257,380,1352,396,561,1163,1286,481,1055,0,0.8685,0.8982144788412176,0.015,2.978,1.0342135622811948,1.2,5,6,1,0.0,0,1,pcap_000.json
27168,443,9,7764,862.6666666666666,5630,2134,1231,324,1365,538,766,815,1009,457,1259,0,0.5365,0.7514035200875759,0.018,2.357,1.4005657410765628,1.3,5,15,1,0.0,0,1,pcap_000.json
48319,993,7,5168,738.2857142857143,2689,2479,1017,135,1253,1432,318,912,101,0,0,0,0.7573333333333334,0.40531126584666033,0.287,1.404,0.5351821291989353,1.3,5,15,1,0.0,0,1,pcap_000.json
18125,993,8,8704,1088.0,4057,4647,1430,1132,1088,1214,1102,1105,437,1196,0,0,1.0442857142857143,1.1641445313172751,0.086,3.659,1.1147758849823428,1.3,5,15,1,0.9208380831980669,0,1,pcap_000.json
63880,8443,14,10025,716.0714285714286,5134,4891,68,378,1428,539,1390,1195,1315,484,206,78,0.7989999999999999,1.0689813267419956,0.011,4.268,1.3378990322177668,1.3,5,15,1,0.7828565050217395,0,1,pcap_000.json
23724,443,10,9032,903.2,3732,5300,803,1290,86,1206,1436,1322,1010,775,397,707,0.8183333333333332,0.6667188312924721,0.059,2.314,0.8147276960804141,1.2,5,6,1,0.8692602724367529,0,1,pcap_000.json
39112,443,8,7454,931.75,3605,3849,791,1316,922,489,837,916,1055,1128,0,0,1.0057142857142856,0.9920623128881881,0.086,2.822,0.9864255952013236,1.3,5,15,1,0.981275175366235,0,1,pcap_000.json
41967,993,5,4303,860.6,2059,2244,810,1036,753,1208,496,0,0,0,0,0,1.0685,0.5977493203676604,0.275,1.894,0.5594284701615914,1.3,5,15,1,0.9195297483299463,0,1,pcap_000.json
44149,993,6,5861,976.8333333333334,2849,3012,1117,1029,440,1366,1292,617,0,0,0,0,1.4377999999999997,1.1945793234440314,0.143,3.441,0.8308383109222643,1.3,5,6,1,0.8710761291878436,0,1,pcap_000.json
32727,993,11,7824,711.2727272727273,3512,4312,120,939,1393,1023,92,165,150,1246,1437,939,0.8949999999999999,0.8292109502412519,0.046,2.986,0.9264926818338011,1.3,5,15,1,0.7118518987172788,0,1,pcap_000.json
65156,443,14,10332,738.0,3807,6525,1141,1136,86,278,146,376,1320,1316,342,765,0.9182307692307692,1.1682113318986131,0.037,4.287,1.2722415443312367,1.3,5,15,1,0.9514923445116698,0,1,pcap_000.json
26313,993,5,1728,345.6,1438,290,165,184,64,106,1209,0,0,0,0,0,0.6819999999999999,0.42302659490864164,0.127,1.136,0.6202735995727884,0.0,0,0,0,0.8617452571256268,0,1,pcap_000.json
55577,995,12,10121,843.4166666666666,4503,5618,1440,701,663,882,389,862,938,1103,959,1385,0.7041818181818182,0.6687280760289801,0.091,2.006,0.9496525737566203,1.3,5,6,1,0.8614612389740396,0,1,pcap_000.json
65347,993,5,2311,462.2,1298,1013,179,129,178,884,941,0,0,0,0,0,1.25725,0.952165262703907,0.121,2.688,0.7573396402496775,1.2,5,15,1,0.8985257488851517,0,1,pcap_000.json
15255,8443,7,5763,823.2857142857143,3426,2337,357,373,1200,552,957,1412,912,0,0,0,0.9751666666666668,0.9464448243587977,0.049,2.702,0.9705467349432209,1.3,5,15,1,0.0,0,1,pcap_000.json
19544,8443,12,10561,880.0833333333334,5546,5015,839,461,614,704,1046,860,1102,618,593,1078,0.8652727272727273,0.695212340473835,0.124,2.369,0.8034603640693616,1.3,5,15,1,0.9157444248460763,0,1,pcap_000.json
47221,8443,8,7195,899.375,3687,3508,987,1220,1220,883,134,1355,1346,50,0,0,0.8019999999999999,0.4143004430879324,0.26,1.477,0.5165840936258509,1.3,5,6,1,0.9644371985644598,0,1,pcap_000.json
20939,995,8,7546,943.25,3446,4100,166,643,1053,1359,818,853,1409,1245,0,0,0.7488571428571429,0.7027587329480111,0.08,1.835,0.9384416502548792,1.3,5,6,1,0.8099986525318091,0,1,pcap_000.json
26174,995,14,11436,816.8571428571429,5940,5496,425,514,679,915,1245,1243,1224,102,705,1112,0.6376153846153846,0.6094869896335314,0.013,2.438,0.955885012092642,1.3,5,15,1,0.8013222297243066,0,1,pcap_000.json
19473,443,7,4888,698.2857142857143,2184,2704,233,1176,986,1327,839,201,126,0,0,0,0.7106666666666667,0.5961514535380716,0.168,1.978,0.8388622704569488,1.3,5,15,1,0.7643719269605553,0,1,pcap_000.json
7746,993,12,8804,733.6666666666666,3980,4824,135,1351,530,204,949,983,369,190,1444,1348,1.574545454545455,1.40129403595627,0.089,4.485,0.8899673438521343,1.2,5,6,1,0.9408898069039224,0,1,pcap_000.json
61945,8443,14,11041,788.6428571428571,6204,4837,98,167,1178,560,276,1264,1298,705,1172,844,0.6753846153846155,0.5634041503986197,0.018,2.249,0.8341974892006896,1.3,5,15,1,0.0,0,1,pcap_000.json
56312,443,5,3901,780.2,3000,901,741,169,1426,732,833,0,0,0,0,0,0.50975,0.325087199840289,0.181,0.924,0.6377384989510329,0.0,0,0,0,0.8031450877748352,0,1,pcap_000.json
3735,8443,9,5158,573.1111111111111,2169,2989,790,1307,997,521,112,1080,100,81,170,0,0.853625,0.928198246268005,0.052,3.106,1.087360663368581,0.0,0,0,0,0.0,0,1,pcap_000.json
5114,443,5,2682,536.4,2014,668,51,255,700,413,1263,0,0,0,0,0,1.159,0.27512451726445614,0.78,1.423,0.2373809467337844,1.3,5,15,1,0.8942760647195114,0,1,pcap_000.json
29945,993,11,8230,748.1818181818181,4406,3824,727,866,633,411,441,654,1222,659,1161,1234,1.017,0.9461285324943963,0.037,2.887,0.9303132079590919,1.3,5,6,1,0.7924382258503002,0,1,pcap_000.json
59106,8443,11,8572,779.2727272727273,4188,4384,1337,1102,68,516,787,1302,965,1422,616,42,0.7975,0.782693075221699,0.009,2.797,0.9814333231620049,1.2,5,6,1,0.0,0,1,pcap_000.json
10179,995,9,9408,1045.3333333333333,5197,4211,978,846,1365,1125,1216,811,1373,1429,265,0,0.9610000000000001,0.5554032318955302,0.262,2.112,0.5779430092565351,1.2,5,6,1,0.7167743762033849,0,1,pcap_000.json
43898,8443,6,5665,944.1666666666666,2398,3267,255,820,1152,1420,991,1027,0,0,0,0,0.7662000000000001,0.8029593763074195,0.095,2.277,1.0479762154886707,1.2,5,6,1,0.0,0,1,pcap_000.json
34766,8443,9,8368,929.7777777777778,5890,2478,953,1379,835,632,1364,388,1386,79,1352,0,0.57825,0.7309734519803028,0.063,2.369,1.2641131897627371,1.3,5,6,1,0.7465160305457209,0,1,pcap_000.json
3493,995,14,11301,807.2142857142857,4871,6430,1094,1457,121,628,334,1109,1296,1286,487,714,0.8676923076923077,0.56772831864104,0.137,1.747,0.6542968211288582,1.3,5,6,1,0.0,0,1,pcap_000.json
9097,8443,10,8325,832.5,3198,5127,249,743,755,1290,499,946,918,986,777,1162,1.5582222222222224,1.6362039928361132,0.024,5.851,1.0500453462296788,1.2,5,15,1,0.9435846777550169,0,1,pcap_000.json
48875,995,9,10159,1128.7777777777778,4778,5381,908,1450,609,1225,1048,1334,1123,1372,1090,0,0.742,0.6569168516638921,0.166,2.245,0.885332684183143,1.3,5,15,1,0.0,0,1,pcap_000.json
48861,8443,5,3160,632.0,1948,1212,560,1056,765,156,623,0,0,0,0,0,0.5405,0.3419945174999155,0.175,0.892,0.6327373126732941,1.3,5,6,1,0.0,0,1,pcap_000.json
42712,443,12,7623,635.25,3694,3929,1151,627,631,131,753,281,41,628,957,1229,1.0833636363636363,1.1315813771988035,0.081,4.317,1.0445074388845212,0.0,0,0,0,0.7360237903511372,0,1,pcap_000.json
26315,995,6,3489,581.5,1706,1783,1147,290,498,939,61,554,0,0,0,0,0.968,0.6612908588510806,0.414,2.252,0.6831517136891329,0.0,0,0,0,0.0,0,1,pcap_000.json
14636,993,7,5529,789.8571428571429,3316,2213,1419,348,346,953,588,912,963,0,0,0,1.66,1.804760187208631,0.176,5.608,1.0872049320533923,1.3,5,15,1,0.9517990265684304,0,1,pcap_000.json
37245,995,12,9807,817.25,4370,5437,986,459,905,617,971,794,1309,1300,60,906,0.927,0.6020028692169619,0.029,2.397,0.6494097834055683,1.3,5,15,1,0.8267779627568796,0,1,pcap_000.json
46917,443,13,8345,641.9230769230769,4375,3970,105,300,499,340,326,669,883,1320,1011,615,0.6973333333333334,0.6249021701212296,0.037,1.951,0.8961312191031017,1.3,5,6,1,0.7596939509106627,0,1,pcap_000.json
28444,443,7,6795,970.7142857142857,4759,2036,1122,1048,1075,732,1314,256,1248,0,0,0,0.5156666666666666,0.3674682148008027,0.004,1.019,0.7126080442161656,1.2,5,15,1,0.7404988638793307,0,1,pcap_000.json
57351,8443,5,3318,663.6,2412,906,708,556,1238,350,466,0,0,0,0,0,2.229,1.375984556599383,0.586,3.845,0.6173102541944293,1.3,5,15,1,0.7088122473120827,0,1,pcap_000.json
47757,443,6,6164,1027.3333333333333,2625,3539,614,1152,624,1222,1387,1165,0,0,0,0,1.6622,1.229969983373578,0.094,3.779,0.7399650964827206,1.3,5,6,1,0.7919867578619656,0,1,pcap_000.json
4750,443,11,7559,687.1818181818181,3345,4214,867,344,330,1330,1013,981,124,855,668,704,1.045,0.5661452110545492,0.257,1.99,0.5417657522053102,1.3,5,15,1,0.9165939576793886,0,1,pcap_000.json
60206,443,13,11448,880.6153846153846,5608,5840,90,828,826,1003,533,790,1207,709,628,1408,0.5626666666666665,0.37871324537467954,0.062,1.259,0.6730685640545254,1.3,5,6,1,0.9337378394347958,0,1,pcap_000.json
24693,443,13,8580,660.0,3583,4997,49,721,759,898,89,1123,896,1032,620,522,0.8654999999999999,0.7538192201494114,0.023,2.302,0.8709638592136469,1.3,5,6,1,0.7169518380914806,0,1,pcap_000.json
33141,443,5,4388,877.6,2062,2326,1343,1281,327,1045,392,0,0,0,0,0,0.29375,0.09897316555511396,0.137,0.411,0.33692992529400495,1.3,5,15,1,0.8282988815793941,0,1,pcap_000.json
57573,995,10,4394,439.4,1872,2522,97,1193,809,393,155,492,326,350,485,94,1.062111111111111,1.4860843735912501,0.062,5.139,1.3991797638164298,1.3,5,6,1,0.7680462037380815,0,1,pcap_000.json
19776,443,8,5944,743.0,2740,3204,1017,839,823,777,520,788,380,800,0,0,0.5121428571428571,0.46800715152393885,0.065,1.55,0.9138214953047621,1.3,5,6,1,0.966623672232181,0,1,pcap_000.json
61093,8443,12,9043,753.5833333333334,3897,5146,173,1070,112,617,970,305,832,1352,872,861,1.107909090909091,0.9672539813631216,0.152,3.053,0.8730445388524113,1.3,5,6,1,0.0,0,1,pcap_000.json
29787,443,8,5067,633.375,3742,1325,486,82,1123,326,817,421,1316,496,0,0,1.2827142857142857,1.6666535087915986,0.063,5.271,1.299317803935983,1.2,5,15,1,0.7293032851930875,0,1,pcap_000.json
44132,993,8,6466,808.25,3533,2933,459,1294,807,558,1021,637,1246,444,0,0,1.2301428571428572,0.9724507227429395,0.216,3.319,0.7905185296946436,0.0,0,0,0,0.8974826998990909,0,1,pcap_000.json
57556,443,9,4727,525.2222222222222,2713,2014,203,536,742,222,549,663,783,593,436,0,0.851,0.5586080915991103,0.161,1.664,0.656413738659354,1.2,5,6,1,0.8269049059760636,0,1,pcap_000.json
42698,993,10,5566,556.6,2572,2994,118,895,620,488,1071,126,447,1080,316,405,1.2555555555555555,1.0018598384017943,0.042,3.135,0.7979414642138185,1.3,5,15,1,0.0,0,1,pcap_000.json
43557,993,5,4055,811.0,1609,2446,399,1001,1002,1445,208,0,0,0,0,0,0.6275000000000001,0.4187066395461147,0.129,1.1,0.6672615769659198,1.3,5,15,1,0.7849183906432797,0,1,pcap_000.json
61727,995,14,8146,581.8571428571429,5216,2930,975,527,163,829,1235,725,161,78,1296,188,1.047076923076923,0.9881939595925225,0.012,3.834,0.9437644339334994,1.3,5,15,1,0.0,0,1,pcap_000.json
27086,993,12,7364,613.6666666666666,2848,4516,317,1416,742,62,147,1191,175,168,554,1167,1.1281818181818182,1.2179614726091834,0.111,4.804,1.0795790651652715,1.3,5,15,1,0.0,0,1,pcap_000.json
58681,8443,5,5134,1026.8,3909,1225,1440,1054,1274,171,1195,0,0,0,0,0,1.9657499999999999,2.116503528818225,0.486,5.608,1.0766900820644665,1.3,5,15,1,0.7005451662222241,0,1,pcap_000.json
16403,443,11,9078,825.2727272727273,5165,3913,565,375,539,805,633,1251,1382,445,1139,1037,0.8731,0.5413879293076269,0.08,1.743,0.6200755117485133,1.3,5,6,1,0.8077123805431833,0,1,pcap_000.json
11052,443,8,4510,563.75,1756,2754,1110,117,176,876,177,1012,293,749,0,0,1.0284285714285715,0.9220133028390884,0.125,3.002,0.896526339751857,1.2,5,15,1,0.7654069856784624,0,1,pcap_000.json
56580,995,14,13929,994.9285714285714,7022,6907,782,970,1376,848,1427,1024,965,657,1283,1283,0.7768461538461539,0.9235780626832918,0.007,3.137,1.188881554102663,1.2,5,6,1,0.8003169297754913,0,1,pcap_000.json
8951,993,11,7140,649.0909090909091,3937,3203,531,181,353,1194,1023,410,423,484,1241,934,1.7131,1.3394272246001273,0.121,3.889,0.7818733434126013,1.3,5,6,1,0.9096161479304603,0,1,pcap_000.json
44641,443,9,7933,881.4444444444445,4823,3110,1175,881,474,1149,1357,650,600,430,1217,0,0.779,0.6879385873753558,0.053,2.056,0.8831047334728573,1.3,5,6,1,0.9524677432633419,0,1,pcap_000.json
35905,443,7,3919,559.8571428571429,2858,1061,1160,266,640,748,543,47,515,0,0,0,0.8321666666666667,1.1292049440006697,0.111,3.337,1.3569456567202118,1.2,5,6,1,0.8545783715013806,0,1,pcap_000.json
12140,993,12,9183,765.25,5099,4084,259,1063,967,652,1005,583,853,1192,1052,308,0.9482727272727274,0.9536792953331363,0.125,3.434,1.0057014906206978,1.3,5,15,1,0.0,0,1,pcap_000.json
33244,443,6,5859,976.5,2563,3296,1440,982,496,1289,627,1025,0,0,0,0,0.8502000000000001,0.48752698386858545,0.408,1.71,0.5734262336727657,1.2,5,6,1,0.9625543635405824,0,1,pcap_000.json
17045,443,7,4453,636.1428571428571,1937,2516,932,1129,287,493,163,894,555,0,0,0,1.3981666666666668,1.655550705623023,0.072,4.796,1.184086808170001,1.2,5,15,1,0.0,0,1,pcap_000.json
45922,995,6,4312,718.6666666666666,2642,1670,685,446,1417,589,540,635,0,0,0,0,0.587,0.3422496165081855,0.185,1.11,0.583048750439839,0.0,0,0,0,0.9662422001377537,0,1,pcap_000.json
22802,443,11,7057,641.5454545454545,4356,2701,1136,1438,826,437,715,325,712,128,860,373,0.7661,0.6751838934690312,0.047,2.061,0.8813260585681127,1.3,5,15,1,0.9430641332300581,0,1,pcap_000.json
31486,443,8,5752,719.0,2168,3584,1052,1387,521,1128,382,371,213,698,0,0,1.2465714285714287,0.9305968679359741,0.025,2.415,0.7465251060682808,1.3,5,6,1,0.9287526565325542,0,1,pcap_000.json
50092,993,6,4613,768.8333333333334,1408,3205,386,1150,253,612,769,1443,0,0,0,0,1.0386,0.7592687534727081,0.293,2.379,0.7310502151672521,1.3,5,15,1,0.8771262206119728,0,1,pcap_000.json
55152,8443,8,5491,686.375,3145,2346,641,743,1426,272,856,895,222,436,0,0,0.8112857142857143,0.5784829209198127,0.045,2.073,0.7130446287090489,1.2,5,15,1,0.8144270619233174,0,1,pcap_000.json
7612,995,14,12286,877.5714285714286,5094,7192,1216,1406,470,889,1387,678,524,451,1176,1441,0.7627692307692308,0.7191814956383674,0.061,2.842,0.9428559341769641,1.2,5,15,1,0.0,0,1,pcap_000.json
7055,8443,6,4938,823.0,1594,3344,307,1374,1025,613,262,1357,0,0,0,0,1.0126,0.7210771387306631,0.349,2.409,0.7121046205122094,1.3,5,6,1,0.7888309146456817,0,1,pcap_000.json
53419,993,11,8946,813.2727272727273,3571,5375,599,1181,718,972,460,1256,1265,1046,165,920,1.1272000000000002,0.8375201251313309,0.012,2.93,0.7430093374124652,1.3,5,6,1,0.748534322610202,0,1,pcap_000.json
25347,8443,10,5858,585.8,3379,2479,1297,301,950,524,209,1098,825,408,98,148,1.3487777777777776,0.9556205404259321,0.092,3.247,0.7085085150204622,1.3,5,15,1,0.8570943955989011,0,1,pcap_000.json
61548,993,5,3927,785.4,2245,1682,422,339,875,1343,948,0,0,0,0,0,2.66875,3.220983341698618,0.315,8.158,1.2069258423226672,1.3,5,15,1,0.7871419218241253,0,1,pcap_000.json
2331,443,10,7869,786.9,4103,3766,103,306,1203,434,1016,597,922,1367,859,1062,0.6727777777777777,0.5983231712744799,0.035,1.991,0.8893325419439008,1.3,5,15,1,0.8482698840382178,0,1,pcap_000.json
22107,993,8,7161,895.125,3137,4024,202,1392,980,920,879,1386,1076,326,0,0,0.7761428571428571,1.1538431966471787,0.061,3.559,1.48663765443222,1.3,5,6,1,0.0,0,1,pcap_000.json
40129,443,7,4647,663.8571428571429,1967,2680,96,1226,303,1390,618,64,950,0,0,0,2.5460000000000003,2.2836599279811054,0.002,6.128,0.8969599088692479,1.3,5,15,1,0.9453172175065423,0,1,pcap_000.json
57603,8443,10,9227,922.7,3283,5944,949,1353,122,1129,414,1443,1251,1076,547,943,0.9768888888888889,0.7296256946688402,0.006,1.99,0.7468870850795679,1.2,5,15,1,0.0,0,1,pcap_000.json
57746,443,13,11603,892.5384615384615,6557,5046,70,1086,1137,699,1077,1051,886,742,1122,1075,0.9795000000000001,0.645283723127535,0.127,2.195,0.658788895484977,1.3,5,15,1,0.9073612284666983,0,1,pcap_000.json
56644,995,13,8299,638.3846153846154,3806,4493,176,467,950,1146,663,730,510,968,671,214,1.407166666666667,1.0047511162250857,0.093,2.864,0.7140242446228252,1.3,5,6,1,0.0,0,1,pcap_000.json
16230,995,6,4014,669.0,2279,1735,266,931,1076,436,937,368,0,0,0,0,0.7464,0.6156585417258498,0.238,1.958,0.8248372745523176,1.3,5,6,1,0.7104222157272504,0,1,pcap_000.json
50155,995,12,10377,864.75,6735,3642,1128,1315,1376,93,1107,597,1165,907,714,150,0.8965454545454548,0.9231075347223404,0.043,2.972,1.0296271427647274,1.3,5,6,1,0.8319264779572002,0,1,pcap_000.json
45748,8443,13,8849,680.6923076923077,5247,3602,1197,704,558,51,594,1012,662,199,264,1108,1.4286666666666668,1.0544866312834675,0.001,3.657,0.7380914358027071,1.3,5,15,1,0.0,0,1,pcap_000.json
61770,993,10,8562,856.2,4246,4316,1153,401,1088,1364,500,1423,902,530,603,598,1.2832222222222223,0.7694445006016827,0.217,2.368,0.5996190583959775,0.0,0,0,0,0.7427178828409013,0,1,pcap_000.json
52122,8443,14,11813,843.7857142857143,7184,4629,492,637,753,1286,1029,559,1298,370,902,311,1.165769230769231,1.3170907423821028,0.044,5.262,1.1298040020433742,1.2,5,6,1,0.9405235718179686,0,1,pcap_000.json
56769,8443,14,9555,682.5,4971,4584,1415,872,632,793,125,460,1219,210,209,361,0.46315384615384614,0.3966317505724046,0.009,1.476,0.8563714926824879,1.2,5,6,1,0.7130242767087286,0,1,pcap_000.json
41570,443,5,3700,740.0,1847,1853,155,732,363,1121,1329,0,0,0,0,0,1.22725,0.7653356698207656,0.444,2.098,0.6236183905648935,1.3,5,15,1,0.9513634028067401,0,1,pcap_000.json
23650,995,7,4863,694.7142857142857,3407,1456,739,366,444,830,793,260,1431,0,0,0,0.84,0.6062449999793812,0.229,1.869,0.721720238070692,1.3,5,6,1,0.9728275109459013,0,1,pcap_000.json
16547,8443,12,10111,842.5833333333334,4552,5559,1067,472,1311,916,293,720,739,1420,719,1148,0.43190909090909096,0.39421024721367204,0.0,1.284,0.9127157902231934,1.3,5,15,1,0.7878499626357245,0,1,pcap_000.json
21999,993,8,4309,538.625,1866,2443,543,349,792,977,482,293,49,824,0,0,0.8414285714285715,0.36995438218510024,0.313,1.437,0.4396741384203228,1.2,5,15,1,0.9264122374282613,0,1,pcap_000.json
21262,995,10,4540,454.0,2380,2160,446,548,802,112,301,284,600,214,231,1002,0.9084444444444445,0.6773195718928664,0.053,1.978,0.7455817205278616,1.3,5,6,1,0.9268296662964614,0,1,pcap_000.json
15235,995,7,5551,793.0,3204,2347,1032,378,322,1039,698,930,1152,0,0,0,1.2411666666666668,1.1481355054560802,0.197,3.412,0.9250453918002526,1.3,5,15,1,0.8454394838291228,0,1,pcap_000.json
22098,993,8,7164,895.5,3644,3520,1187,1075,370,179,1160,885,927,1381,0,0,0.6787142857142857,0.45425911871835384,0.206,1.531,0.6692935868298204,0.0,0,0,0,0.7964122855731265,0,1,pcap_000.json
52614,993,10,6532,653.2,2929,3603,443,377,400,257,241,557,1381,1145,464,1267,1.214888888888889,1.2255517074584497,0.197,3.93,1.008776784994151,0.0,0,0,0,0.8400815122920781,0,1,pcap_000.json
33206,993,10,7013,701.3,3091,3922,592,1171,406,1372,1197,112,599,139,297,1128,0.6906666666666665,0.5978017136884846,0.015,2.01,0.8655430217497365,1.3,5,15,1,0.7587634638992495,0,1,pcap_000.json
43075,993,7,4693,670.4285714285714,1936,2757,1136,657,301,696,93,1404,406,0,0,0,1.7485,1.1344297759961464,0.396,3.772,0.6488017020281077,1.3,5,15,1,0.0,0,1,pcap_000.json
63980,995,5,4009,801.8,2791,1218,1174,1110,776,108,841,0,0,0,0,0,0.42300000000000004,0.5363231302116291,0.029,1.342,1.2679033811149625,0.0,0,0,0,0.7624498706009403,0,1,pcap_000.json
27173,993,12,7826,652.1666666666666,3912,3914,909,642,730,760,429,334,835,588,607,809,1.376818181818182,0.641148375705204,0.313,2.535,0.46567396056502103,1.3,5,6,1,0.8216229873834218,0,1,pcap_000.json
37436,993,8,6124,765.5,2597,3527,1192,1013,160,1101,964,753,281,660,0,0,0.9911428571428572,1.0711904497295692,0.011,2.856,1.0807629213183891,1.3,5,6,1,0.0,0,1,pcap_000.json
61758,8443,12,9437,786.4166666666666,4965,4472,1374,606,661,1425,887,1276,1069,586,464,126,1.2824545454545453,0.9423803867804283,0.243,3.053,0.734825565647176,1.3,5,15,1,0.8115930489941199,0,1,pcap_000.json
42629,995,10,8397,839.7,4217,4180,760,455,1013,1059,713,1074,286,1190,1445,402,0.947,0.9998184279602416,0.129,3.215,1.0557744751428106,1.3,5,6,1,0.8194407747210738,0,1,pcap_000.json
5212,995,5,4573,914.6,2506,2067,1380,679,56,1388,1070,0,0,0,0,0,1.5055,1.4769787574640334,0.23,3.934,0.9810553022012842,1.3,5,15,1,0.7200233128312339,0,1,pcap_000.json
64536,8443,13,8815,678.0769230769231,4740,4075,1156,375,1427,1262,378,468,178,581,697,599,0.87,0.6715611166031974,0.078,2.32,0.7719093294289625,1.3,5,15,1,0.9331062181060995,0,1,pcap_000.json
47797,8443,12,10440,870.0,4991,5449,613,882,658,1298,1319,387,356,1111,1199,353,1.0011818181818182,0.7311541086381942,0.068,2.649,0.7302910374121616,1.3,5,15,1,0.0,0,1,pcap_000.json
18398,993,14,12162,868.7142857142857,4977,7185,977,1332,567,1122,1300,773,339,1399,553,410,0.9069230769230768,0.9618257047877918,0.08,3.182,1.0605372487057927,1.2,5,6,1,0.901445878079181,0,1,pcap_000.json
35022,995,11,8725,793.1818181818181,5316,3409,1403,379,431,614,932,867,729,1280,494,269,1.3905,1.616271465441372,0.031,5.561,1.1623671092710333,1.3,5,6,1,0.9707356142027179,0,1,pcap_000.json
29326,995,5,2926,585.2,1546,1380,498,538,547,842,501,0,0,0,0,0,0.51075,0.3721299336253401,0.015,1.062,0.7285950731773667,1.3,5,6,1,0.0,0,1,pcap_000.json
10812,443,6,5586,931.0,2922,2664,978,1111,690,734,1254,819,0,0,0,0,1.1238,0.8057884089511339,0.237,2.647,0.7170211861106371,1.3,5,6,1,0.7154709191267803,0,1,pcap_000.json
59466,443,11,8008,728.0,4487,3521,896,497,872,1323,655,982,469,473,414,246,0.8926000000000001,0.510228223445156,0.186,1.821,0.571620236886798,1.3,5,6,1,0.8695049407039291,0,1,pcap_000.json
23463,993,8,4999,624.875,2022,2977,335,679,478,869,1015,1302,194,127,0,0,1.249285714285714,0.6022490501174302,0.262,2.144,0.4820747113575772,1.2,5,15,1,0.8805628547436108,0,1,pcap_000.json
15739,993,11,8236,748.7272727272727,4829,3407,1127,964,1161,403,802,1421,967,524,623,95,0.774,0.9224125974855288,0.073,2.853,1.1917475419709675,1.2,5,6,1,0.8030427270574274,0,1,pcap_000.json
